,Proto-Turkic Root,Kazakh Word,Uzbek Word,Proto-Turkic URL,Kazakh URL,Uzbek URL
0,*āk,ақ,oq,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/%C4%81k,https://en.wiktionary.org/wiki/%D0%B0%D2%9B,https://en.wiktionary.org/wiki/oq
1,*bālɨk,балық,baliq,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/b%C4%81l%C9%A8k,https://en.wiktionary.org/wiki/%D0%B1%D0%B0%D0%BB%D1%8B%D2%9B,https://en.wiktionary.org/wiki/baliq
2,*buŕagu,бұзау,buzoq,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/bu%C5%95agu,https://en.wiktionary.org/wiki/%D0%B1%D2%B1%D0%B7%D0%B0%D1%83,https://en.wiktionary.org/wiki/buzoq
3,*yẹr,жер,yer,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/y%E1%BA%B9r,https://en.wiktionary.org/wiki/%D0%B6%D0%B5%D1%80,https://en.wiktionary.org/wiki/yer
4,*yẹt(t)i,жеті,yetti,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/y%E1%BA%B9t(t)i,https://en.wiktionary.org/wiki/%D0%B6%D0%B5%D1%82%D1%96,https://en.wiktionary.org/wiki/yetti
5,edit,жиде,erkin,https://en.wiktionary.org/w/index.php?title=%D0%B6%D0%B8%D0%B4%D0%B5&action=edit&section=3,https://en.wiktionary.org/wiki/%D0%B6%D0%B8%D0%B4%D0%B5,https://en.wiktionary.org/wiki/erkin
6,edit,жиде,narsa,https://en.wiktionary.org/w/index.php?title=%D0%B6%D0%B8%D0%B4%D0%B5&action=edit&section=3,https://en.wiktionary.org/wiki/%D0%B6%D0%B8%D0%B4%D0%B5,https://en.wiktionary.org/wiki/narsa
7,edit,жиде,qachon,https://en.wiktionary.org/w/index.php?title=%D0%B6%D0%B8%D0%B4%D0%B5&action=edit&section=3,https://en.wiktionary.org/wiki/%D0%B6%D0%B8%D0%B4%D0%B5,https://en.wiktionary.org/wiki/qachon
8,edit,жиде,qoʻy,https://en.wiktionary.org/w/index.php?title=%D0%B6%D0%B8%D0%B4%D0%B5&action=edit&section=3,https://en.wiktionary.org/wiki/%D0%B6%D0%B8%D0%B4%D0%B5,https://en.wiktionary.org/wiki/qo%CA%BBy
9,*yüŕük,жүзік,uzuk,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/y%C3%BC%C5%95%C3%BCk,https://en.wiktionary.org/wiki/%D0%B6%D2%AF%D0%B7%D1%96%D0%BA,https://en.wiktionary.org/wiki/uzuk
10,*göŕ,көз,koʻz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/g%C3%B6%C5%95,https://en.wiktionary.org/wiki/%D0%BA%D3%A9%D0%B7,https://en.wiktionary.org/wiki/ko%CA%BBz
11,*ben,мен,men,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/ben,https://en.wiktionary.org/wiki/%D0%BC%D0%B5%D0%BD,https://en.wiktionary.org/wiki/men
12,*būŕ,мұз,muz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/b%C5%AB%C5%95,https://en.wiktionary.org/wiki/%D0%BC%D2%B1%D0%B7,https://en.wiktionary.org/wiki/muz
13,*sekiz,сегіз,sakkiz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/sekiz,https://en.wiktionary.org/wiki/%D1%81%D0%B5%D0%B3%D1%96%D0%B7,https://en.wiktionary.org/wiki/sakkiz
14,*kiān,қан,qon,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/ki%C4%81n,https://en.wiktionary.org/wiki/%D2%9B%D0%B0%D0%BD,https://en.wiktionary.org/wiki/qon
15,*kïŕïl,қызыл,qizil,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/k%C3%AF%C5%95%C3%AFl,https://en.wiktionary.org/wiki/%D2%9B%D1%8B%D0%B7%D1%8B%D0%BB,https://en.wiktionary.org/wiki/qizil
16,*kum,құм,qum,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/kum,https://en.wiktionary.org/wiki/%D2%9B%D2%B1%D0%BC,https://en.wiktionary.org/wiki/qum
