,Proto-Dravidian Root,Tamil Word,Telugu Word,Proto-Dravidian URL,Tamil URL,Telugu URL
0,*kaṇ,கண்,కన్ను,https://en.wiktionary.org/wiki/Reconstruction:Proto-Dravidian/ka%E1%B9%87,https://en.wiktionary.org/wiki/%E0%AE%95%E0%AE%A3%E0%AF%8D,https://en.wiktionary.org/wiki/%E0%B0%95%E0%B0%A8%E0%B1%8D%E0%B0%A8%E0%B1%81
1,*amma,அம்மா,అమ్మ,https://en.wiktionary.org/wiki/Reconstruction:Proto-Dravidian/amma,https://en.wiktionary.org/wiki/%E0%AE%85%E0%AE%AE%E0%AF%8D%E0%AE%AE%E0%AE%BE,https://en.wiktionary.org/wiki/%E0%B0%85%E0%B0%AE%E0%B1%8D%E0%B0%AE
2,edit,இணை,తెనుగు,https://en.wiktionary.org/w/index.php?title=%E0%AE%87%E0%AE%A3%E0%AF%88&action=edit&section=3,https://en.wiktionary.org/wiki/%E0%AE%87%E0%AE%A3%E0%AF%88,https://en.wiktionary.org/wiki/%E0%B0%A4%E0%B1%86%E0%B0%A8%E0%B1%81%E0%B0%97%E0%B1%81
3,*ūr,ஊர்,ఊరు,https://en.wiktionary.org/wiki/Reconstruction:Proto-Dravidian/%C5%ABr,https://en.wiktionary.org/wiki/%E0%AE%8A%E0%AE%B0%E0%AF%8D,https://en.wiktionary.org/wiki/%E0%B0%8A%E0%B0%B0%E0%B1%81
4,edit,நாம்,తెనుగు,https://en.wiktionary.org/w/index.php?title=%E0%AE%A8%E0%AE%BE%E0%AE%AE%E0%AF%8D&action=edit&section=3,https://en.wiktionary.org/wiki/%E0%AE%A8%E0%AE%BE%E0%AE%AE%E0%AF%8D,https://en.wiktionary.org/wiki/%E0%B0%A4%E0%B1%86%E0%B0%A8%E0%B1%81%E0%B0%97%E0%B1%81
5,*ēr̤u,ஏழு,ఏడు,https://en.wiktionary.org/wiki/Reconstruction:Proto-Dravidian/%C4%93r%CC%A4u,https://en.wiktionary.org/wiki/%E0%AE%8F%E0%AE%B4%E0%AF%81,https://en.wiktionary.org/wiki/%E0%B0%8F%E0%B0%A1%E0%B1%81
6,*kūṭu,கூடு,గూడు,https://en.wiktionary.org/wiki/Reconstruction:Proto-Dravidian/k%C5%AB%E1%B9%ADu,https://en.wiktionary.org/wiki/%E0%AE%95%E0%AF%82%E0%AE%9F%E0%AF%81,https://en.wiktionary.org/wiki/%E0%B0%97%E0%B1%82%E0%B0%A1%E0%B1%81
7,*nīr,நீர்,నీరు,https://en.wiktionary.org/wiki/Reconstruction:Proto-Dravidian/n%C4%ABr,https://en.wiktionary.org/wiki/%E0%AE%A8%E0%AF%80%E0%AE%B0%E0%AF%8D,https://en.wiktionary.org/wiki/%E0%B0%A8%E0%B1%80%E0%B0%B0%E0%B1%81
8,*pāmpu,பாம்பு,పాము,https://en.wiktionary.org/wiki/Reconstruction:Proto-Dravidian/p%C4%81mpu,https://en.wiktionary.org/wiki/%E0%AE%AA%E0%AE%BE%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AF%81,https://en.wiktionary.org/wiki/%E0%B0%AA%E0%B0%BE%E0%B0%AE%E0%B1%81
9,*puli,புலி,పులి,https://en.wiktionary.org/wiki/Reconstruction:Proto-Dravidian/puli,https://en.wiktionary.org/wiki/%E0%AE%AA%E0%AF%81%E0%AE%B2%E0%AE%BF,https://en.wiktionary.org/wiki/%E0%B0%AA%E0%B1%81%E0%B0%B2%E0%B0%BF
10,*pū,பூ,పువ్వు,https://en.wiktionary.org/wiki/Reconstruction:Proto-Dravidian/p%C5%AB,https://en.wiktionary.org/wiki/%E0%AE%AA%E0%AF%82,https://en.wiktionary.org/wiki/%E0%B0%AA%E0%B1%81%E0%B0%B5%E0%B1%8D%E0%B0%B5%E0%B1%81
11,*pū,பூ,పూవు,https://en.wiktionary.org/wiki/Reconstruction:Proto-Dravidian/p%C5%AB,https://en.wiktionary.org/wiki/%E0%AE%AA%E0%AF%82,https://en.wiktionary.org/wiki/%E0%B0%AA%E0%B1%82%E0%B0%B5%E0%B1%81
12,*pic-ar,பெயர்,పేరు,https://en.wiktionary.org/wiki/Reconstruction:Proto-Dravidian/picar,https://en.wiktionary.org/wiki/%E0%AE%AA%E0%AF%86%E0%AE%AF%E0%AE%B0%E0%AF%8D,https://en.wiktionary.org/wiki/%E0%B0%AA%E0%B1%87%E0%B0%B0%E0%B1%81
